timestamp,latitude,longitude,altitude
2024-11-20T15:27:36Z,41.999505,-83.00036,104.85
2024-11-20T15:27:37Z,41.999911,-83.000017,106.6
2024-11-20T15:27:38Z,42.000011,-83.000058,109.62
2024-11-20T15:27:39Z,42.000416,-82.99986,109.27
2024-11-20T15:27:40Z,42.000198,-83.000141,108.99
2024-11-20T15:27:41Z,41.999725,-82.999687,108.37
2024-11-20T15:27:42Z,42.000213,-82.999966,106.68
2024-11-20T15:27:43Z,41.999997,-83.000388,106.93
2024-11-20T15:27:44Z,42.000489,-83.000766,105.46
2024-11-20T15:27:45Z,42.000594,-83.001053,109.26
2024-11-20T15:27:46Z,42.00108,-83.000643,113.19
2024-11-20T15:27:47Z,42.001377,-83.000354,111.54
2024-11-20T15:27:48Z,42.00098,-82.999891,115.53
2024-11-20T15:27:49Z,42.000517,-83.000021,114.34
2024-11-20T15:27:50Z,42.000511,-83.000152,116.45
2024-11-20T15:27:51Z,42.00091,-83.000429,116.99
2024-11-20T15:27:52Z,42.000916,-83.000593,121.03
2024-11-20T15:27:53Z,42.001355,-83.000343,125.52
2024-11-20T15:27:54Z,42.001483,-82.999919,128.63
2024-11-20T15:27:55Z,42.001626,-83.000049,132.98
2024-11-20T15:27:56Z,42.001515,-83.000519,134.16
2024-11-20T15:27:57Z,42.001627,-83.000344,134.03
2024-11-20T15:27:58Z,42.001983,-83.000583,134.36
2024-11-20T15:27:59Z,42.002331,-83.000972,139.12
2024-11-20T15:28:00Z,42.002503,-83.00126,137.85
2024-11-20T15:28:01Z,42.002169,-83.001185,141.39
2024-11-20T15:28:02Z,42.002005,-83.001243,144.93
2024-11-20T15:28:03Z,42.0016,-83.000957,143.95
2024-11-20T15:28:04Z,42.001904,-83.001225,144.89
2024-11-20T15:28:05Z,42.002224,-83.001453,148.58
2024-11-20T15:28:06Z,42.002026,-83.001772,148.85
2024-11-20T15:28:07Z,42.002481,-83.001768,153.14
2024-11-20T15:28:08Z,42.002646,-83.001937,157.09
2024-11-20T15:28:09Z,42.002553,-83.001971,155.66
2024-11-20T15:28:10Z,42.002578,-83.002269,154.61
2024-11-20T15:28:11Z,42.002383,-83.002763,154.39
2024-11-20T15:28:12Z,42.002787,-83.002288,158.03
2024-11-20T15:28:13Z,42.002599,-83.002561,156.35
2024-11-20T15:28:14Z,42.002367,-83.003057,154.6
2024-11-20T15:28:15Z,42.002095,-83.00296,152.77
2024-11-20T15:28:16Z,42.002594,-83.002603,155.61
2024-11-20T15:28:17Z,42.002525,-83.00308,153.87
2024-11-20T15:28:18Z,42.00207,-83.003457,155.77
2024-11-20T15:28:19Z,42.001984,-83.00315,154.75
2024-11-20T15:28:20Z,42.002277,-83.00341,158.2
2024-11-20T15:28:21Z,42.001979,-83.003639,157.65
2024-11-20T15:28:22Z,42.002093,-83.003702,161.74
2024-11-20T15:28:23Z,42.001908,-83.003713,160.95
2024-11-20T15:28:24Z,42.001587,-83.004039,163.91
2024-11-20T15:28:25Z,42.001963,-83.003749,163.78
2024-11-20T16:17:35Z,42.000242,-82.999703,103.75
2024-11-20T16:17:36Z,42.000352,-82.99973,107.51
2024-11-20T16:17:37Z,42.000149,-83.000098,112.4
2024-11-20T16:17:38Z,42.000092,-83.000468,115.67
2024-11-20T16:17:39Z,41.999635,-83.000193,119.12
2024-11-20T16:17:40Z,41.999881,-82.999803,121.56
2024-11-20T16:17:41Z,41.999472,-82.999767,119.99
2024-11-20T16:17:42Z,41.999718,-83.000209,123.73
2024-11-20T16:17:43Z,41.999672,-83.00057,126.18
2024-11-20T16:17:44Z,41.999942,-83.000078,130.91
2024-11-20T16:17:45Z,42.000075,-82.999798,131.7
2024-11-20T16:17:46Z,42.000247,-83.000265,134.13
2024-11-20T16:17:47Z,42.000066,-83.000753,139.01
2024-11-20T16:17:48Z,42.000005,-83.00067,137.97
2024-11-20T16:17:49Z,41.999907,-83.001082,141.9
2024-11-20T16:17:50Z,42.000111,-83.001382,141.25
2024-11-20T16:17:51Z,42.000183,-83.001366,142.22
2024-11-20T16:17:52Z,41.999926,-83.000873,146.34
2024-11-20T16:17:53Z,41.999678,-83.000848,147.6
2024-11-20T16:17:54Z,41.999546,-83.001167,148.23
2024-11-20T16:17:55Z,42.000036,-83.001135,149.92
2024-11-20T16:17:56Z,42.000237,-83.001558,152.12
2024-11-20T16:17:57Z,42.000492,-83.001905,150.37
2024-11-20T16:17:58Z,42.000102,-83.001515,149.94
2024-11-20T16:17:59Z,41.999658,-83.001676,149.59
2024-11-20T16:18:00Z,41.999999,-83.00165,151.26
2024-11-20T16:18:01Z,41.999499,-83.001169,151.04
2024-11-20T16:18:02Z,41.999166,-83.000812,152.97
